"Scenario","Search Space","# Instances","Target Metrics","Fidelity","H","Source"
"rbv2_super","38D: Mixed","103","9: perf(6) + rt(2) + mem","fraction","✓","[1]"
"rbv2_svm","6D: Mixed","106","9: perf(6) + rt(2) + mem","fraction","✓","[1]"
"rbv2_rpart","5D: Mixed","117","9: perf(6) + rt(2) + mem","fraction","","[1]"
"rbv2_aknn","6D: Mixed","118","9: perf(6) + rt(2) + mem","fraction","","[1]"
"rbv2_glmnet","3D: Mixed","115","9: perf(6) + rt(2) + mem","fraction","","[1]"
"rbv2_ranger","8D: Mixed","119","9: perf(6) + rt(2) + mem","fraction","✓","[1]"
"rbv2_xgboost","14D: Mixed","119","9: perf(6) + rt(2) + mem","fraction","✓","[1]"
"nb301","34D: Categorical","1","2: perf(1) + rt(1)","epoch","✓","[2], [3]"
"lcbench","7D: Numeric","34","6: perf(5) + rt(1)","epoch","", "[4], [5]"
"iaml_super","28D: Mixed","4","12: perf(4) + inp(3) + rt(2) + mem(3)","fraction","✓","[6]"
"iaml_rpart","4D: Numeric","4","12: perf(4) + inp(3) + rt(2) + mem(3)","fraction","","[6]"
"iaml_glmnet","2D: Numeric","4","12: perf(4) + inp(3) + rt(2) + mem(3)","fraction","","[6]"
"iaml_ranger","8D: Mixed","4","12: perf(4) + inp(3) + rt(2) + mem(3)","fraction","✓","[6]"
"iaml_xgboost","13D: Mixed","4","12: perf(4) + inp(3) + rt(2) + mem(3)","fraction","✓","[6]"
